Region	BivProm	HET	OpenC	Prom	ReprPC	ReprPC and openC	TSS	Tx	TxEnh	TxEx	TxWk	WkEnh	ZNF	artifacts	enhancers	quiescent
chr12:30770001-30780000	0.0	14.001400140014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.998599859986
chr1:60390001-60400000	0.0	14.001400140014	12.001200120012001	0.0	2.0002000200020005	0.0	0.0	3.9903990399039904	0.0	0.0	22.002200220022004	4.000400040004001	0.0	26.002600260026004	0.0	16.001600160016004
chr12:67280001-67290000	0.0	32.00320032003201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.000400040004001	0.0	17.99179917991799	0.0	46.004600460046
chr15:57200001-57210000	0.0	18.001800180018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.000400040004001	0.0	29.992999299929995	0.0	48.004800480048004
chr7:74400001-74410000	0.0	10.00100010001	12.001200120012001	0.0	6.0006000600060005	0.0	0.0	0.0	0.0	0.0	0.0	23.99239923992399	0.0	4.000400040004001	8.000800080008002	36.003600360036
chr10:29290001-29300000	0.0	17.99179917991799	2.0002000200020005	0.0	0.0	0.0	0.0	2.0002000200020005	0.0	0.0	18.001800180018	2.0002000200020005	4.000400040004001	8.000800080008002	0.0	46.004600460046
chr4:38010001-38020000	0.0	15.991599159915992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0006000600060005	0.0	0.0	0.0	78.00780078007801
chr1:26020001-26030000	0.0	34.003400340034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.996599659966
chr9:58840001-58850000	0.0	0.0	24.002400240024002	0.0	8.000800080008002	0.0	0.0	16.001600160016004	2.0002000200020005	0.0	0.0	29.992999299929995	0.0	0.0	20.00200020002	0.0
chr15:70560001-70570000	0.0	53.99539953995399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.003400340034	0.0	12.001200120012001
chr4:77750001-77760000	0.0	27.992799279927993	2.0002000200020005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0002000200020005	0.0	6.0006000600060005	0.0	62.006200620062
chr2:43690001-43700000	0.0	8.000800080008002	16.001600160016004	0.0	2.0002000200020005	0.0	0.0	0.0	0.0	0.0	1.9901990199019903	10.00100010001	0.0	0.0	0.0	62.006200620062
chr5:22010001-22020000	0.0	0.0	6.0006000600060005	0.0	4.000400040004001	0.0	0.0	0.0	0.0	0.0	37.99379937993799	14.001400140014	0.0	0.0	0.0	38.00380038003801
